Index,Action
0,board_slow1-0_p8_n15_n0_n1
1,board_slow1-0_p12_n15_n0_n1
2,board_slow1-0_p21_n14_n0_n1
3,board_slow1-0_p23_n14_n0_n1
4,board_slow0-0_p3_n3_n0_n1
5,board_slow0-0_p14_n2_n0_n1
6,board_slow1-0_p16_n11_n0_n1
7,board_slow0-0_p6_n0_n0_n1
8,board_slow0-0_p22_n0_n0_n1
9,board_slow1-0_p0_n12_n0_n1
10,board_slow1-0_p5_n8_n0_n1
11,board_slow1-0_p7_n11_n0_n1
12,board_slow1-0_p9_n12_n0_n1
13,board_slow1-0_p10_n11_n0_n1
14,board_slow1-0_p11_n11_n0_n1
15,board_slow1-0_p15_n8_n0_n1
16,board_slow1-0_p18_n12_n0_n1
17,leave_slow0-0_p6_n3_n1_n0
18,leave_slow0-0_p22_n6_n1_n0
19,leave_slow1-0_p0_n15_n1_n0
20,leave_slow1-0_p5_n14_n1_n0
21,leave_slow1-0_p7_n13_n1_n0
22,leave_slow1-0_p9_n11_n1_n0
23,leave_slow1-0_p10_n13_n1_n0
24,leave_slow1-0_p11_n10_n1_n0
25,leave_slow1-0_p13_n15_n1_n0
26,leave_slow1-0_p15_n13_n1_n0
27,leave_slow1-0_p18_n10_n1_n0
28,board_fast1_p17_n16_n0_n1
29,leave_slow0-0_p1_n4_n1_n0
30,leave_slow1-0_p8_n8_n1_n0
31,leave_slow1-0_p12_n8_n1_n0
32,leave_slow1-0_p21_n8_n1_n0
33,leave_slow1-0_p23_n8_n1_n0
34,leave_slow0-0_p2_n8_n1_n0
35,leave_slow0-0_p3_n8_n1_n0
36,leave_slow0-0_p14_n8_n1_n0
37,leave_slow0-0_p19_n8_n1_n0
38,board_slow0-0_p8_n8_n0_n1
39,board_slow0-0_p12_n8_n0_n1
40,board_slow0-0_p21_n8_n0_n1
41,board_slow0-0_p23_n8_n0_n1
42,board_slow1-0_p2_n8_n0_n1
43,board_slow1-0_p3_n8_n0_n1
44,board_slow1-0_p14_n8_n0_n1
45,board_slow1-0_p19_n8_n0_n1
46,leave_slow1-0_p16_n8_n1_n0
47,leave_slow0-0_p8_n6_n1_n0
48,leave_slow0-0_p12_n1_n1_n0
49,leave_slow0-0_p21_n3_n1_n0
50,leave_slow0-0_p23_n3_n1_n0
51,leave_slow1-0_p2_n13_n1_n0
52,leave_slow1-0_p3_n14_n1_n0
53,leave_slow1-0_p14_n14_n1_n0
54,leave_slow1-0_p19_n14_n1_n0
55,board_fast1_p4_n4_n1_n2
56,board_fast1_p20_n4_n2_n3
57,leave_fast1_p17_n0_n3_n2
58,board_slow0-0_p17_n0_n0_n1
59,leave_slow0-0_p17_n2_n1_n0
60,leave_fast1_p4_n12_n2_n1
61,board_slow1-0_p4_n12_n0_n1
62,leave_slow1-0_p4_n13_n1_n0
63,leave_fast1_p20_n12_n1_n0
64,board_slow1-0_p20_n12_n0_n1
65,leave_slow1-0_p20_n11_n1_n0
66,board_fast1_p1_n4_n0_n1
67,leave_fast1_p1_n12_n1_n0
